,Nombre municipio
425,TUCHIN
426,LOS CORDOBAS
427,CHACHAGUI
428,SANDONA
429,SANTA ROSA DEL SUR
430,ALTO BAUDO (PIE DE PATO)
431,LA BELLEZA
432,ARBOLETES
433,YARUMAL
434,VIANI
435,SALGAR
436,VALDIVIA
437,VALENCIA
438,TAMINANGO
439,SAN JOSE DEL GUAVIARE
440,SAMPUES
441,SANTA BARBARA (ISCUANDE)
442,IMUES
443,CURUMANI
444,CANTON DE SAN PABLO (MANAGRU)
445,PALMITO
446,EL PEÑOL
447,PLANETA RICA
448,FRESNO
449,SEVILLA
450,GUAPI
451,SAN JUAN DE BETULIA
452,CACHIPAY
453,CHINU
454,TELLO
455,SAN VICENTE DE CHUCURI
456,TARAZA
457,PUERTO ESCONDIDO
458,GUARANDA
459,COYAIMA
460,LLORO
461,SUAITA
462,MALAGA
463,YAVARATE (CD)
464,MAJAGUAL
465,ROBERTO PAYAN (SAN JOSE)
466,GUATAQUI
467,SAN JUAN DE URABA
468,CAIMITO
469,GUAYATA
470,GALERAS (NUEVA GRANADA)
471,SAN BERNARDO DEL VIENTO
472,PURISIMA
473,BARRANCAS
474,SARAVENA
475,HISPANIA
476,EL CARMEN DE ATRATO
477,MACEO
478,Galapa
479,PAILITAS
480,SABANA DE TORRES
481,CUCUNUBA
482,CHAPARRAL
483,SANTA ANA
484,COTORRA
485,TAMESIS
486,AYAPEL
487,CICUCO
488,VIGIA DEL FUERTE
489,SIMIJACA
490,SAN PELAYO
491,SAN MARCOS
492,SAMANIEGO
493,GAMARRA
494,NATAGAIMA
495,SARDINATA
496,TIQUISIO (PUERTO RICO)
497,LA GLORIA
498,PUERTO LIBERTADOR
499,TOLUVIEJO
500,PUEBLO NUEVO
501,TOLU
502,EL BAGRE
503,ARAUQUITA
504,SINCE
505,SAN ONOFRE
506,PUEBLO RICO
507,SAN ANDRES SOTAVENTO
508,MOÑITOS
509,CAJIBIO
510,CALDONO
511,SAN JACINTO
512,BELTRAN
513,AGUAZUL
514,ZARZAL
515,PIJIÑO DEL CARMEN (PIJIÑO)
516,DIBULLA
517,SUCRE
518,SAN CARLOS
519,ZAMBRANO
520,SOPLAVIENTO
521,COLOSO (RICAURTE)
522,CHIMICHAGUA
523,ARANZAZU
524,PAMPLONITA
525,EL ROBLE
526,NECHI
527,BOJACA
528,SAN FELIPE (CD)
529,BALBOA
530,NATAGA
531,GUATAVITA
532,SAN ANTONIO
533,ARENAL
534,SAN ANTERO
535,MANI
536,COLON (GENOVA)
537,TARAIRA
538,REMEDIOS
539,CHALAN
540,PLATO
541,COVEÑAS
542,PUERTO WILCHES
543,LOS PALMITOS
544,RAMIRIQUI
545,SANTA FE DE ANTIOQUIA
546,SUSACON
547,GUASCA
548,ANZA
549,TAME
550,NEMOCON
551,UBALA
552,LERIDA
553,DABEIBA
554,CAÑASGORDAS
555,PELAYA
556,OVEJAS
557,SAN BENITO ABAD
558,CAICEDONIA
559,SASAIMA
560,GUAMAL
561,REMOLINO
562,LA PALMA
563,CORINTO
564,EL AGUILA
565,BOLIVAR
566,CARMEN DE CARUPA
567,GIRARDOTA
568,BURITICA
569,MUTATA
570,CAICEDO
571,PADILLA
572,LA CELIA
573,BARICHARA
574,PUERTO PARRA
575,TAMALAMEQUE
576,MURINDO
577,MONTECRISTO
578,SAN ALBERTO
579,PINILLOS
580,ARROYOHONDO
581,NOBSA
582,MANAURE BALCON DEL CESAR
583,PORE
584,FUNES
585,PUERTO BERRIO
586,NECOCLI
587,SAN GIL
588,SANTIAGO
589,CHITAGA
590,PUERTO TRIUNFO
591,ROSAS
592,ALBAN (SAN JOSE)
593,MEDIO SAN JUAN
594,PUERTO BOYACA
595,LA APARTADA
596,HELICONIA
597,CONSACA
598,QUETAME
599,EBEJICO
600,ACHI
601,BETULIA
602,COVARACHIA
603,SANTA BARBARA
604,MARSELLA
605,EL MOLINO
606,LA CHORRERA (CD)
607,LA PAZ
608,CONCORDIA
609,URUMITA
610,SOLITA
611,EL DONCELLO
612,LA VEGA
613,MESETAS
614,OIBA
615,ZARAGOZA
616,MERCADERES
617,SAN ESTANISLAO
618,SAN VICENTE
619,MORALES
620,LOS SANTOS
621,ENTRERRIOS
622,VENECIA
623,SANTA ROSA DE VITERBO
624,GALAN
625,PUERTO RICO
626,CASTILLA LA NUEVA
627,BRICENO
628,TIBASOSA
629,SIACHOQUE
630,RAGONVALIA
631,SOPETRAN
632,PEQUE
633,NOROSÌ
634,CARMEN DEL DARIEN
635,MOGOTES
636,SAN JOSE DEL FRAGUA
637,SEGOVIA
638,BAJO BAUDO (PIZARRO)
639,MARIPI
640,HATO
641,ALPUJARRA
642,VILLAGARZON
643,MOMIL
644,SAN ROQUE
645,CANTAGALLO
646,LEIVA
647,VALPARAISO
648,HATILLO DE LOBA
649,TIBANA
650,SAN JOSE DE URE
651,BITUIMA
652,GOMEZ PLATA
653,URAMITA
654,TITIRIBI
655,SAN VICENTE DEL CAGUAN
656,ONZAGA
657,ABEJORRAL
658,PUERTO NARE (LA MAGDALENA )
659,CHINACOTA
660,SAN CAYETANO
661,ASTREA
662,OROCUE
663,SUAZA
664,GACHETA
665,FUQUENE
666,TARAPACA (CD)
667,MITU
668,SAN RAFAEL
669,ANORI
670,EL CASTILLO
671,SAN PEDRO DE CARTAGO
672,LANDAZURI
673,CASABIANCA
674,SALDAÑA
675,SANTO DOMINGO
676,LOS ANDES (SOTOMAYOR)
677,CEPITA
678,DOLORES
679,URRAO
680,TARQUI
681,TARSO
682,CARACOLI
683,FREDONIA
684,SAN JOSE DE LA MONTANA
685,OLAYA
686,VILLAVIEJA
687,SUPIA
688,ACANDI
689,MARGARITA
690,NIMAIMA
691,VALLE DE SAN JOSE
692,SOATA
693,SAN JACINTO DEL CAUCA
694,NUEVA GRANADA
695,SORACA
696,TUTA
697,BELMIRA
698,SANTA BARBARA DE PINTO
699,SAN ZENON
700,QUEBRADANEGRA
701,CUBARRAL
702,SAN JERONIMO
703,MONGUI
704,PALESTINA
705,CARTAGENA DEL CHAIRA
706,PEDRAZA
707,MONTERREY
708,PUERTO CAICEDO
709,LA PRIMAVERA
710,VERSALLES
711,ANZOATEGUI
712,PITAL
713,SAN JOAQUIN
714,CAMPAMENTO
715,ARBOLEDAS
716,QUINCHIA
717,TALAIGUA NUEVO
718,HERVEO
719,CHIVOLO
720,SABOYA
721,LA MONTANITA
722,FOSCA
723,MORELIA
724,LIBORINA
725,RIOBLANCO
726,NOVITA
727,SUAREZ
728,BUESACO
729,PURIFICACION
730,LA VICTORIA
731,SAN PEDRO DE URABA
732,ARIGUANI (EL DIFICIL)
733,LA SIERRA
734,BOCHALEMA
735,AGUADA
736,PACORA
737,CALIFORNIA
738,SAN CALIXTO
739,TORIBIO
740,ALGARROBO
741,ORTEGA
742,SIBUNDOY
743,ARCABUCO
744,HATO COROZAL
745,MAPIRIPAN
746,AMALFI
747,MATANZA
748,NUQUI
749,EL TARRA
750,DURANIA
751,HOBO
752,ARBELAEZ
753,PANDI
754,GENOVA
755,SAN JOSE DE MIRANDA
756,PAEZ
757,SALAMINA
758,CHIMA
759,JAMBALO
760,ALTOS DEL ROSARIO
761,ABRIAQUI
762,COLOMBIA
763,PEÑOL
764,IZA
765,LA ESPERANZA
766,BELALCAZAR
767,UTICA
768,LA ARGENTINA
769,ALTAMIRA
770,YONDO (CASABE)
771,CHIQUIZA
772,CARMEN DE APICALA
773,GRAMALOTE
774,SALENTO
775,LINARES
776,BELEN DE LOS ANDAQUIES
777,ARATOCA
778,EL GUAMO
779,APIA
780,EL PLAYON
781,VELEZ
782,GUACHETA
783,AMBALEMA
784,SANTA CRUZ (GUACHAVES)
785,TERUEL
786,QUIPAMA
787,GUADALUPE
788,GUALMATAN
789,IQUIRA
790,SOLANO
791,FUENTE DE ORO
792,TRINIDAD
793,CUITIVA
794,LA PINTADA
795,LA JAGUA DEL PILAR
796,CARCASI
797,ICONONZO
798,TANGUA
799,ZAPATOCA
800,ALVARADO
801,PESCA
802,GACHALA
803,EL PAUJIL
804,TORO
805,TEORAMA
806,CAJAMARCA
807,TENERIFE
808,CURILLO
809,EL CARMEN
810,EL CARMEN DE CHUCURI
811,REGIDOR
812,SILOS
813,MOTAVITA
814,PRADO
815,MILAN
816,PARAMO
817,YAGUARA
818,GAMA
819,VENADILLO
820,BARAYA
821,SAN MARTIN DE LOBA
822,BETANIA
823,CAROLINA
824,SAN BENITO
825,SANTA MARIA
826,LA UVITA
827,CONFINES
828,VALLE DE SAN JUAN
829,PINCHOTE
830,LA MERCED
831,UMBITA
832,ILES
833,FORTUL
